Timeframe,Strategy,Total Return (%),Win Rate (%),Total Trades,Max Drawdown (%),Sharpe Ratio,Profit Factor,Final Balance
15m,RSI_14_70_30,-2.44,64.71,17,11.06,-6.99,1.11,9756.07
15m,BollingerBands_20_2,-10.51,65.08,63,16.83,-24.39,1.09,8949.26
15m,Stochastic_14_3_3,-15.7,47.22,72,17.71,-31.33,0.93,8430.48
15m,MA_Crossover_12_26_sma,-39.03,30.43,115,41.03,-41.71,0.52,6096.51
15m,MACD_12_26_9,-50.72,27.32,205,51.39,-42.57,0.55,4927.84
15m,BollingerBandFutures_20_2.0_14_12_26_9,-53.44,34.74,213,53.58,-43.68,0.52,4656.44
1h,RSI_14_70_30,4.88,60.0,5,7.13,9.24,3.62,10487.83
1h,BollingerBands_20_2,3.94,68.75,16,6.43,6.31,1.98,10393.77
1h,Stochastic_14_3_3,3.42,61.11,18,7.42,5.91,1.8,10342.23
1h,BollingerBandFutures_20_2.0_14_12_26_9,-1.18,49.02,51,11.36,-1.56,1.5,9882.11
1h,MA_Crossover_12_26_sma,-2.47,34.78,23,16.39,-3.54,1.07,9753.38
1h,MACD_12_26_9,-20.96,28.57,56,25.67,-17.89,0.66,7904.24
4h,BollingerBands_20_2,17.9,83.33,6,4.81,23.98,232.51,11789.5
4h,RSI_14_70_30,9.64,100.0,2,8.99,11.42,0.0,10964.32
4h,MACD_12_26_9,7.28,38.46,13,7.08,6.19,1.82,10727.83
4h,BollingerBandFutures_20_2.0_14_12_26_9,0.97,53.33,15,11.12,0.59,1.3,10096.58
4h,Stochastic_14_3_3,0.37,75.0,4,9.01,0.29,1.44,10036.72
4h,MA_Crossover_12_26_sma,-11.3,14.29,7,11.46,-9.01,0.04,8869.66
